
0it [00:00, ?it/s]
1it [01:02, 62.66s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-217.26+/-0.18 dlogz:inf>0.1]
9it [01:02,  5.06s/it, bound:0 nc: 12 ncall:4.3e+02 eff:2.1% logz=-151.93+/-0.18 dlogz:218.462>0.1]
14it [01:02,  2.79s/it, bound:0 nc:  2 ncall:4.7e+02 eff:3.0% logz=-140.55+/-0.16 dlogz:198.658>0.1]
18it [01:03,  1.85s/it, bound:0 nc:  8 ncall:4.9e+02 eff:3.7% logz=-132.79+/-0.18 dlogz:193.082>0.1]
24it [01:03,  1.08s/it, bound:0 nc: 11 ncall:5.2e+02 eff:4.6% logz=-120.18+/-0.18 dlogz:180.062>0.1]
28it [01:03,  1.27it/s, bound:0 nc: 13 ncall:5.7e+02 eff:4.9% logz=-110.74+/-0.17 dlogz:170.137>0.1]
32it [01:03,  1.73it/s, bound:0 nc:  3 ncall:6.3e+02 eff:5.1% logz=-106.36+/-0.16 dlogz:164.864>0.1]
39it [01:03,  2.92it/s, bound:0 nc: 20 ncall:6.8e+02 eff:5.7% logz=-98.34+/-0.15 dlogz:155.812>0.1] 
45it [01:03,  4.28it/s, bound:0 nc:  4 ncall:7.1e+02 eff:6.4% logz=-94.37+/-0.16 dlogz:152.083>0.1]
49it [01:04,  5.22it/s, bound:0 nc:  3 ncall:7.7e+02 eff:6.4% logz=-91.03+/-0.16 dlogz:149.692>0.1]
57it [01:04,  8.45it/s, bound:0 nc:  2 ncall:7.9e+02 eff:7.3% logz=-85.56+/-0.16 dlogz:144.492>0.1]
64it [01:07,  4.00it/s, bound:1 nc:101 ncall:9.1e+02 eff:7.0% logz=-76.77+/-0.17 dlogz:136.234>0.1]
72it [01:11,  3.23it/s, bound:3 nc:101 ncall:1.7e+03 eff:4.1% logz=-73.20+/-0.15 dlogz:131.281>0.1]
79it [01:14,  2.80it/s, bound:6 nc:101 ncall:2.5e+03 eff:3.1% logz=-69.71+/-0.15 dlogz:128.133>0.1]
87it [01:17,  2.69it/s, bound:9 nc:101 ncall:3.4e+03 eff:2.6% logz=-63.98+/-0.16 dlogz:122.392>0.1]
95it [01:20,  2.59it/s, bound:11 nc:101 ncall:4.2e+03 eff:2.3% logz=-60.53+/-0.15 dlogz:118.679>0.1]
103it [01:24,  2.55it/s, bound:14 nc:101 ncall:5.0e+03 eff:2.1% logz=-57.39+/-0.15 dlogz:115.512>0.1]
111it [01:27,  2.50it/s, bound:17 nc:101 ncall:5.8e+03 eff:1.9% logz=-51.80+/-0.15 dlogz:109.853>0.1]
119it [01:30,  2.46it/s, bound:19 nc:101 ncall:6.6e+03 eff:1.8% logz=-48.86+/-0.15 dlogz:106.981>0.1]
127it [01:34,  2.37it/s, bound:22 nc:101 ncall:7.4e+03 eff:1.7% logz=-45.06+/-0.16 dlogz:103.467>0.1]
135it [01:38,  2.28it/s, bound:25 nc:101 ncall:8.2e+03 eff:1.6% logz=-41.33+/-0.15 dlogz:99.404>0.1] 
143it [01:42,  2.26it/s, bound:27 nc:101 ncall:9.0e+03 eff:1.6% logz=-37.49+/-0.15 dlogz:95.461>0.1]
151it [01:45,  2.23it/s, bound:30 nc:101 ncall:9.8e+03 eff:1.5% logz=-34.67+/-0.15 dlogz:92.631>0.1]
159it [01:49,  2.18it/s, bound:33 nc:101 ncall:1.1e+04 eff:1.5% logz=-31.69+/-0.15 dlogz:89.550>0.1]
