
0it [00:00, ?it/s]
1it [00:43, 43.63s/it, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-244.10+/-0.18 dlogz:inf>0.1]
5it [00:43,  6.52s/it, bound:0 nc: 13 ncall:4.2e+02 eff:1.2% logz=-218.85+/-0.18 dlogz:273.304>0.1]
11it [00:43,  2.32s/it, bound:0 nc:  9 ncall:4.6e+02 eff:2.4% logz=-185.01+/-0.17 dlogz:238.069>0.1]
20it [00:43,  1.02it/s, bound:0 nc:  1 ncall:5.0e+02 eff:4.0% logz=-166.07+/-0.17 dlogz:218.604>0.1]
27it [00:44,  1.63it/s, bound:0 nc:  6 ncall:6.0e+02 eff:4.5% logz=-148.80+/-0.16 dlogz:201.147>0.1]
32it [00:44,  2.24it/s, bound:0 nc:  4 ncall:6.5e+02 eff:4.9% logz=-139.94+/-0.18 dlogz:195.106>0.1]
37it [00:44,  3.09it/s, bound:0 nc:  4 ncall:6.8e+02 eff:5.4% logz=-132.08+/-0.16 dlogz:184.189>0.1]
42it [00:44,  4.14it/s, bound:0 nc: 26 ncall:7.6e+02 eff:5.5% logz=-125.75+/-0.16 dlogz:178.317>0.1]
46it [00:44,  5.25it/s, bound:0 nc: 14 ncall:8.1e+02 eff:5.7% logz=-113.34+/-0.18 dlogz:173.370>0.1]
50it [00:47,  3.37it/s, bound:1 nc:101 ncall:1.0e+03 eff:4.9% logz=-107.24+/-0.17 dlogz:160.192>0.1]
57it [00:49,  3.32it/s, bound:3 nc:101 ncall:1.7e+03 eff:3.3% logz=-98.69+/-0.17 dlogz:151.902>0.1] 
65it [00:51,  3.41it/s, bound:6 nc:101 ncall:2.5e+03 eff:2.6% logz=-88.91+/-0.16 dlogz:141.074>0.1]
73it [00:54,  3.20it/s, bound:9 nc:101 ncall:3.4e+03 eff:2.2% logz=-83.03+/-0.15 dlogz:134.662>0.1]
81it [00:57,  3.00it/s, bound:11 nc:101 ncall:4.2e+03 eff:1.9% logz=-78.87+/-0.15 dlogz:130.516>0.1]
89it [01:00,  2.77it/s, bound:14 nc:101 ncall:5.0e+03 eff:1.8% logz=-72.63+/-0.15 dlogz:124.143>0.1]
97it [01:04,  2.65it/s, bound:17 nc:101 ncall:5.8e+03 eff:1.7% logz=-68.60+/-0.15 dlogz:120.347>0.1]
105it [01:07,  2.63it/s, bound:19 nc:101 ncall:6.6e+03 eff:1.6% logz=-63.26+/-0.16 dlogz:115.858>0.1]
113it [01:10,  2.51it/s, bound:22 nc:101 ncall:7.4e+03 eff:1.5% logz=-58.70+/-0.15 dlogz:110.494>0.1]
121it [01:13,  2.52it/s, bound:25 nc:101 ncall:8.2e+03 eff:1.5% logz=-53.49+/-0.15 dlogz:104.887>0.1]
129it [01:16,  2.74it/s, bound:27 nc:101 ncall:9.0e+03 eff:1.4% logz=-51.33+/-0.14 dlogz:102.653>0.1]
137it [01:19,  2.56it/s, bound:30 nc:101 ncall:9.8e+03 eff:1.4% logz=-48.04+/-0.15 dlogz:99.674>0.1] 
145it [01:22,  2.60it/s, bound:33 nc:101 ncall:1.1e+04 eff:1.4% logz=-44.90+/-0.15 dlogz:96.364>0.1]
153it [01:24,  2.88it/s, bound:35 nc:101 ncall:1.1e+04 eff:1.3% logz=-41.73+/-0.15 dlogz:93.018>0.1]
161it [01:28,  2.68it/s, bound:38 nc:101 ncall:1.2e+04 eff:1.3% logz=-40.00+/-0.14 dlogz:91.391>0.1]
169it [01:31,  2.74it/s, bound:41 nc:101 ncall:1.3e+04 eff:1.3% logz=-37.13+/-0.15 dlogz:88.377>0.1]
177it [01:33,  2.80it/s, bound:43 nc:101 ncall:1.4e+04 eff:1.3% logz=-34.62+/-0.15 dlogz:85.827>0.1]
185it [01:37,  2.62it/s, bound:46 nc:101 ncall:1.5e+04 eff:1.3% logz=-31.53+/-0.16 dlogz:83.143>0.1]
193it [01:40,  2.61it/s, bound:49 nc:101 ncall:1.5e+04 eff:1.2% logz=-28.90+/-0.15 dlogz:80.103>0.1]
201it [01:43,  2.56it/s, bound:51 nc:101 ncall:1.6e+04 eff:1.2% logz=-25.71+/-0.15 dlogz:77.063>0.1]
209it [01:46,  2.63it/s, bound:54 nc:101 ncall:1.7e+04 eff:1.2% logz=-23.31+/-0.15 dlogz:74.402>0.1]
217it [01:49,  2.58it/s, bound:57 nc:101 ncall:1.8e+04 eff:1.2% logz=-21.32+/-0.15 dlogz:72.505>0.1]
225it [01:52,  2.66it/s, bound:59 nc:101 ncall:1.9e+04 eff:1.2% logz=-19.02+/-0.15 dlogz:70.219>0.1]
233it [01:56,  2.52it/s, bound:62 nc:101 ncall:2.0e+04 eff:1.2% logz=-17.14+/-0.14 dlogz:68.246>0.1]
241it [01:59,  2.52it/s, bound:65 nc:101 ncall:2.0e+04 eff:1.2% logz=-15.34+/-0.14 dlogz:66.413>0.1]
249it [02:02,  2.44it/s, bound:67 nc:101 ncall:2.1e+04 eff:1.2% logz=-14.07+/-0.14 dlogz:65.027>0.1]
