
0it [00:00, ?it/s]
1it [00:05,  5.44s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-555.13+/-0.18 dlogz:inf>0.1]
33it [00:05,  8.34it/s, bound:0 nc:  1 ncall:4.6e+02 eff:7.2% logz=-61.14+/-0.16 dlogz:111.124>0.1]
73it [00:05, 22.05it/s, bound:0 nc:  2 ncall:5.1e+02 eff:14.2% logz=-33.05+/-0.15 dlogz:82.878>0.1]
100it [00:05, 33.30it/s, bound:0 nc:  2 ncall:5.9e+02 eff:16.9% logz=-22.53+/-0.14 dlogz:72.187>0.1]
124it [00:05, 46.06it/s, bound:0 nc:  1 ncall:6.5e+02 eff:19.2% logz=-16.79+/-0.13 dlogz:66.241>0.1]
148it [00:06, 59.46it/s, bound:0 nc:  3 ncall:7.3e+02 eff:20.4% logz=-14.40+/-0.12 dlogz:63.749>0.1]
170it [00:06, 74.65it/s, bound:0 nc:  2 ncall:7.8e+02 eff:21.9% logz=-12.19+/-0.12 dlogz:61.473>0.1]
191it [00:06, 86.88it/s, bound:0 nc:  5 ncall:8.4e+02 eff:22.7% logz=-10.81+/-0.12 dlogz:60.061>0.1]
210it [00:06, 98.81it/s, bound:0 nc:  4 ncall:8.9e+02 eff:23.5% logz=-9.55+/-0.12 dlogz:58.707>0.1] 
228it [00:06, 93.86it/s, bound:0 nc:  9 ncall:9.8e+02 eff:23.3% logz=-8.11+/-0.12 dlogz:57.236>0.1]
243it [00:06, 98.56it/s, bound:0 nc:  1 ncall:1.0e+03 eff:23.5% logz=-7.22+/-0.12 dlogz:56.286>0.1]
257it [00:06, 100.74it/s, bound:0 nc:  5 ncall:1.1e+03 eff:23.8% logz=-6.62+/-0.12 dlogz:55.645>0.1]
270it [00:07, 97.69it/s, bound:0 nc:  1 ncall:1.1e+03 eff:23.7% logz=-6.12+/-0.11 dlogz:55.110>0.1] 
282it [00:07, 102.01it/s, bound:0 nc:  2 ncall:1.2e+03 eff:23.9% logz=-5.65+/-0.11 dlogz:54.609>0.1]
294it [00:07, 90.00it/s, bound:0 nc: 10 ncall:1.2e+03 eff:23.5% logz=-5.06+/-0.11 dlogz:53.991>0.1] 
308it [00:07, 98.62it/s, bound:0 nc: 11 ncall:1.3e+03 eff:23.9% logz=-4.43+/-0.11 dlogz:53.330>0.1]
319it [00:07, 92.58it/s, bound:0 nc: 19 ncall:1.4e+03 eff:23.5% logz=-3.92+/-0.12 dlogz:52.790>0.1]
330it [00:07, 81.62it/s, bound:0 nc:  3 ncall:1.4e+03 eff:23.2% logz=-3.40+/-0.12 dlogz:52.240>0.1]
339it [00:07, 83.11it/s, bound:0 nc:  2 ncall:1.5e+03 eff:23.1% logz=-3.01+/-0.12 dlogz:51.824>0.1]
349it [00:07, 86.32it/s, bound:0 nc:  4 ncall:1.5e+03 eff:22.9% logz=-2.60+/-0.12 dlogz:51.392>0.1]
