
0it [00:00, ?it/s]
1it [00:04,  4.47s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-1482.80+/-0.18 dlogz:inf>0.1]
15it [00:04,  4.54it/s, bound:0 nc:  1 ncall:4.3e+02 eff:3.5% logz=-118.88+/-0.18 dlogz:173.232>0.1]
33it [00:04, 11.86it/s, bound:0 nc:  1 ncall:4.7e+02 eff:7.0% logz=-70.30+/-0.17 dlogz:119.396>0.1] 
56it [00:04, 23.92it/s, bound:0 nc:  2 ncall:5.1e+02 eff:10.9% logz=-44.37+/-0.15 dlogz:92.401>0.1]
77it [00:04, 37.20it/s, bound:0 nc:  2 ncall:5.5e+02 eff:13.9% logz=-30.19+/-0.15 dlogz:77.750>0.1]
95it [00:05, 50.20it/s, bound:0 nc:  4 ncall:6.0e+02 eff:15.9% logz=-25.38+/-0.14 dlogz:72.957>0.1]
113it [00:05, 64.57it/s, bound:0 nc:  4 ncall:6.4e+02 eff:17.8% logz=-20.14+/-0.14 dlogz:67.576>0.1]
129it [00:05, 70.84it/s, bound:0 nc:  4 ncall:6.8e+02 eff:18.9% logz=-16.77+/-0.14 dlogz:64.118>0.1]
143it [00:05, 72.47it/s, bound:0 nc:  3 ncall:7.1e+02 eff:20.0% logz=-14.41+/-0.13 dlogz:61.715>0.1]
155it [00:05, 68.60it/s, bound:0 nc:  3 ncall:7.4e+02 eff:20.8% logz=-12.81+/-0.13 dlogz:60.108>0.1]
168it [00:05, 73.52it/s, bound:0 nc:  5 ncall:7.7e+02 eff:21.8% logz=-11.16+/-0.13 dlogz:58.355>0.1]
178it [00:06, 51.98it/s, bound:0 nc:  3 ncall:8.4e+02 eff:21.3% logz=-10.22+/-0.13 dlogz:57.356>0.1]
186it [00:06, 54.23it/s, bound:0 nc:  2 ncall:8.6e+02 eff:21.6% logz=-9.70+/-0.12 dlogz:56.801>0.1] 
194it [00:06, 55.05it/s, bound:0 nc:  1 ncall:8.8e+02 eff:21.9% logz=-9.20+/-0.12 dlogz:56.293>0.1]
203it [00:06, 56.69it/s, bound:0 nc:  4 ncall:9.1e+02 eff:22.4% logz=-8.51+/-0.12 dlogz:55.580>0.1]
211it [00:06, 56.70it/s, bound:0 nc:  1 ncall:9.3e+02 eff:22.7% logz=-7.96+/-0.12 dlogz:55.000>0.1]
220it [00:06, 57.93it/s, bound:0 nc:  6 ncall:9.6e+02 eff:23.0% logz=-7.42+/-0.12 dlogz:54.433>0.1]
227it [00:07, 58.19it/s, bound:0 nc:  4 ncall:9.8e+02 eff:23.1% logz=-7.06+/-0.12 dlogz:54.044>0.1]
234it [00:07, 50.99it/s, bound:0 nc:  2 ncall:1.0e+03 eff:23.1% logz=-6.74+/-0.12 dlogz:53.710>0.1]
240it [00:07, 44.65it/s, bound:0 nc:  2 ncall:1.0e+03 eff:23.1% logz=-6.41+/-0.12 dlogz:54.542>0.1]
247it [00:07, 46.22it/s, bound:0 nc:  6 ncall:1.1e+03 eff:23.1% logz=-6.05+/-0.12 dlogz:54.975>0.1]
252it [00:07, 43.03it/s, bound:0 nc:  3 ncall:1.1e+03 eff:23.1% logz=-5.79+/-0.12 dlogz:54.700>0.1]
257it [00:07, 44.41it/s, bound:0 nc:  2 ncall:1.1e+03 eff:23.3% logz=-5.54+/-0.12 dlogz:54.439>0.1]
264it [00:07, 45.27it/s, bound:0 nc:  6 ncall:1.1e+03 eff:23.4% logz=-5.22+/-0.11 dlogz:54.100>0.1]
269it [00:08, 45.94it/s, bound:0 nc:  1 ncall:1.1e+03 eff:23.5% logz=-4.98+/-0.11 dlogz:53.850>0.1]
277it [00:08, 50.20it/s, bound:0 nc:  3 ncall:1.2e+03 eff:23.7% logz=-4.58+/-0.11 dlogz:53.424>0.1]
285it [00:08, 49.40it/s, bound:0 nc: 17 ncall:1.2e+03 eff:23.6% logz=-4.19+/-0.12 dlogz:53.021>0.1]
290it [00:08, 47.31it/s, bound:0 nc:  2 ncall:1.2e+03 eff:23.6% logz=-3.96+/-0.12 dlogz:52.774>0.1]
296it [00:08, 47.25it/s, bound:0 nc:  9 ncall:1.3e+03 eff:23.6% logz=-3.68+/-0.12 dlogz:52.474>0.1]
301it [00:08, 42.78it/s, bound:0 nc:  4 ncall:1.3e+03 eff:23.6% logz=-3.46+/-0.11 dlogz:52.243>0.1]
306it [00:08, 40.76it/s, bound:0 nc:  1 ncall:1.3e+03 eff:23.5% logz=-3.24+/-0.11 dlogz:52.009>0.1]
311it [00:09, 32.76it/s, bound:0 nc:  3 ncall:1.3e+03 eff:23.3% logz=-3.02+/-0.11 dlogz:51.775>0.1]
317it [00:09, 36.06it/s, bound:0 nc: 10 ncall:1.4e+03 eff:23.2% logz=-2.78+/-0.11 dlogz:51.517>0.1]
321it [00:09, 31.41it/s, bound:0 nc: 12 ncall:1.4e+03 eff:23.0% logz=-2.64+/-0.11 dlogz:51.365>0.1]
325it [00:09, 29.65it/s, bound:0 nc:  6 ncall:1.4e+03 eff:22.9% logz=-2.51+/-0.11 dlogz:51.219>0.1]
333it [00:09, 36.55it/s, bound:0 nc:  5 ncall:1.4e+03 eff:23.1% logz=-2.24+/-0.11 dlogz:50.932>0.1]
338it [00:09, 35.91it/s, bound:0 nc:  2 ncall:1.5e+03 eff:23.1% logz=-2.06+/-0.11 dlogz:50.743>0.1]
348it [00:10, 45.91it/s, bound:0 nc:  4 ncall:1.5e+03 eff:23.4% logz=-1.71+/-0.11 dlogz:50.370>0.1]
353it [00:10, 39.87it/s, bound:0 nc: 15 ncall:1.5e+03 eff:23.2% logz=-1.55+/-0.11 dlogz:50.193>0.1]
358it [00:10, 35.14it/s, bound:0 nc:  7 ncall:1.6e+03 eff:23.1% logz=-1.39+/-0.11 dlogz:50.021>0.1]
365it [00:10, 38.98it/s, bound:0 nc:  4 ncall:1.6e+03 eff:23.1% logz=-1.17+/-0.11 dlogz:49.783>0.1]
370it [00:10, 34.70it/s, bound:0 nc:  4 ncall:1.6e+03 eff:23.0% logz=-1.02+/-0.11 dlogz:49.621>0.1]
377it [00:10, 35.43it/s, bound:0 nc: 18 ncall:1.6e+03 eff:22.9% logz=-0.79+/-0.11 dlogz:49.368>0.1]
381it [00:11, 26.95it/s, bound:0 nc:  7 ncall:1.7e+03 eff:22.5% logz=-0.64+/-0.11 dlogz:49.221>0.1]
385it [00:11, 27.62it/s, bound:0 nc: 13 ncall:1.7e+03 eff:22.4% logz=-0.49+/-0.11 dlogz:49.061>0.1]
389it [00:11, 28.88it/s, bound:0 nc: 10 ncall:1.7e+03 eff:22.4% logz=-0.35+/-0.11 dlogz:48.907>0.1]
395it [00:11, 33.33it/s, bound:0 nc:  3 ncall:1.8e+03 eff:22.4% logz=-0.14+/-0.11 dlogz:48.676>0.1]
401it [00:11, 36.45it/s, bound:0 nc: 12 ncall:1.8e+03 eff:22.5% logz=0.09+/-0.11 dlogz:48.440>0.1] 
406it [00:11, 33.93it/s, bound:0 nc: 19 ncall:1.8e+03 eff:22.3% logz=0.26+/-0.11 dlogz:48.253>0.1]
411it [00:12, 34.19it/s, bound:0 nc:  5 ncall:1.8e+03 eff:22.3% logz=0.42+/-0.11 dlogz:48.078>0.1]
416it [00:12, 34.40it/s, bound:0 nc: 15 ncall:1.9e+03 eff:22.3% logz=0.59+/-0.11 dlogz:47.895>0.1]
420it [00:12, 25.22it/s, bound:0 nc:  3 ncall:1.9e+03 eff:21.9% logz=0.72+/-0.11 dlogz:47.755>0.1]
424it [00:12, 26.77it/s, bound:0 nc:  9 ncall:1.9e+03 eff:21.9% logz=0.84+/-0.11 dlogz:47.623>0.1]
427it [00:12, 25.47it/s, bound:0 nc: 14 ncall:2.0e+03 eff:21.8% logz=0.93+/-0.11 dlogz:47.529>0.1]
430it [00:12, 20.76it/s, bound:0 nc:  1 ncall:2.0e+03 eff:21.5% logz=1.03+/-0.11 dlogz:47.423>0.1]
434it [00:13, 22.56it/s, bound:0 nc:  7 ncall:2.0e+03 eff:21.4% logz=1.15+/-0.11 dlogz:47.287>0.1]
437it [00:13, 22.26it/s, bound:0 nc: 15 ncall:2.0e+03 eff:21.3% logz=1.24+/-0.11 dlogz:47.189>0.1]
441it [00:13, 23.70it/s, bound:0 nc:  4 ncall:2.1e+03 eff:21.2% logz=1.36+/-0.11 dlogz:47.060>0.1]
446it [00:13, 26.55it/s, bound:0 nc:  2 ncall:2.1e+03 eff:21.3% logz=1.51+/-0.11 dlogz:46.901>0.1]
453it [00:13, 32.70it/s, bound:0 nc:  8 ncall:2.1e+03 eff:21.3% logz=1.72+/-0.11 dlogz:46.671>0.1]
458it [00:13, 33.25it/s, bound:0 nc:  5 ncall:2.1e+03 eff:21.4% logz=1.86+/-0.11 dlogz:46.511>0.1]
462it [00:14, 22.31it/s, bound:0 nc: 35 ncall:2.2e+03 eff:21.0% logz=1.98+/-0.11 dlogz:46.388>0.1]
466it [00:14, 23.48it/s, bound:0 nc: 11 ncall:2.2e+03 eff:20.9% logz=2.09+/-0.11 dlogz:46.266>0.1]
469it [00:14, 24.64it/s, bound:0 nc:  9 ncall:2.2e+03 eff:20.9% logz=2.17+/-0.11 dlogz:46.175>0.1]
472it [00:14, 22.18it/s, bound:0 nc: 12 ncall:2.3e+03 eff:20.7% logz=2.26+/-0.11 dlogz:46.079>0.1]
475it [00:14, 22.25it/s, bound:0 nc: 16 ncall:2.3e+03 eff:20.6% logz=2.35+/-0.11 dlogz:45.984>0.1]
479it [00:14, 24.10it/s, bound:0 nc:  9 ncall:2.3e+03 eff:20.6% logz=2.47+/-0.11 dlogz:45.857>0.1]
484it [00:15, 23.40it/s, bound:0 nc: 19 ncall:2.4e+03 eff:20.5% logz=2.62+/-0.11 dlogz:45.695>0.1]
489it [00:15, 26.68it/s, bound:0 nc:  8 ncall:2.4e+03 eff:20.5% logz=2.77+/-0.11 dlogz:45.533>0.1]
494it [00:15, 28.58it/s, bound:0 nc: 10 ncall:2.4e+03 eff:20.5% logz=2.91+/-0.11 dlogz:45.379>0.1]
498it [00:15, 24.83it/s, bound:0 nc: 12 ncall:2.4e+03 eff:20.4% logz=3.02+/-0.11 dlogz:45.258>0.1]
501it [00:15, 25.33it/s, bound:0 nc:  2 ncall:2.4e+03 eff:20.4% logz=3.10+/-0.11 dlogz:45.168>0.1]
504it [00:16, 17.78it/s, bound:0 nc:  3 ncall:2.5e+03 eff:20.2% logz=3.18+/-0.11 dlogz:45.078>0.1]
507it [00:16, 14.68it/s, bound:0 nc:  5 ncall:2.5e+03 eff:20.0% logz=3.26+/-0.11 dlogz:44.990>0.1]
509it [00:16, 15.00it/s, bound:0 nc: 14 ncall:2.6e+03 eff:19.9% logz=3.32+/-0.11 dlogz:44.929>0.1]
511it [00:16, 12.57it/s, bound:0 nc: 22 ncall:2.6e+03 eff:19.8% logz=3.38+/-0.11 dlogz:44.866>0.1]
513it [00:16, 13.46it/s, bound:0 nc:  6 ncall:2.6e+03 eff:19.7% logz=3.44+/-0.12 dlogz:44.801>0.1]
515it [00:16, 14.57it/s, bound:0 nc:  6 ncall:2.6e+03 eff:19.7% logz=3.50+/-0.12 dlogz:44.735>0.1]
517it [00:17, 15.01it/s, bound:0 nc: 17 ncall:2.6e+03 eff:19.6% logz=3.57+/-0.12 dlogz:44.666>0.1]
520it [00:17, 17.80it/s, bound:0 nc:  9 ncall:2.7e+03 eff:19.6% logz=3.66+/-0.12 dlogz:44.561>0.1]
524it [00:17, 18.75it/s, bound:0 nc: 15 ncall:2.7e+03 eff:19.6% logz=3.80+/-0.12 dlogz:44.420>0.1]
528it [00:17, 22.01it/s, bound:0 nc:  3 ncall:2.7e+03 eff:19.6% logz=3.92+/-0.12 dlogz:44.286>0.1]
531it [00:17, 19.10it/s, bound:0 nc: 15 ncall:2.7e+03 eff:19.5% logz=4.00+/-0.12 dlogz:44.191>0.1]
534it [00:17, 19.15it/s, bound:0 nc: 11 ncall:2.7e+03 eff:19.4% logz=4.08+/-0.12 dlogz:44.102>0.1]
538it [00:18, 20.30it/s, bound:0 nc: 19 ncall:2.8e+03 eff:19.3% logz=4.18+/-0.12 dlogz:43.991>0.1]
541it [00:18, 19.43it/s, bound:0 nc:  3 ncall:2.8e+03 eff:19.3% logz=4.26+/-0.12 dlogz:43.907>0.1]
544it [00:18, 20.86it/s, bound:0 nc:  3 ncall:2.8e+03 eff:19.3% logz=4.34+/-0.12 dlogz:43.818>0.1]
547it [00:18, 13.58it/s, bound:0 nc: 40 ncall:2.9e+03 eff:19.0% logz=4.42+/-0.12 dlogz:43.728>0.1]
549it [00:19, 10.82it/s, bound:0 nc:  2 ncall:2.9e+03 eff:18.8% logz=4.48+/-0.12 dlogz:43.668>0.1]
551it [00:19,  9.53it/s, bound:0 nc: 29 ncall:3.0e+03 eff:18.6% logz=4.53+/-0.12 dlogz:43.608>0.1]
553it [00:19, 10.21it/s, bound:0 nc: 27 ncall:3.0e+03 eff:18.4% logz=4.58+/-0.12 dlogz:43.551>0.1]
555it [00:19, 10.56it/s, bound:0 nc:  5 ncall:3.0e+03 eff:18.4% logz=4.64+/-0.12 dlogz:43.495>0.1]
558it [00:19, 10.26it/s, bound:0 nc: 41 ncall:3.1e+03 eff:18.2% logz=4.72+/-0.12 dlogz:43.406>0.1]
561it [00:20, 13.22it/s, bound:0 nc: 14 ncall:3.1e+03 eff:18.2% logz=4.80+/-0.12 dlogz:43.320>0.1]
563it [00:20, 13.52it/s, bound:0 nc:  8 ncall:3.1e+03 eff:18.1% logz=4.85+/-0.12 dlogz:43.264>0.1]
566it [00:20, 13.66it/s, bound:0 nc: 30 ncall:3.2e+03 eff:18.0% logz=4.92+/-0.12 dlogz:43.182>0.1]
568it [00:20, 13.69it/s, bound:0 nc: 20 ncall:3.2e+03 eff:17.9% logz=4.98+/-0.12 dlogz:43.122>0.1]
570it [00:20, 13.03it/s, bound:0 nc: 14 ncall:3.2e+03 eff:17.8% logz=5.04+/-0.12 dlogz:43.057>0.1]
572it [00:20, 13.96it/s, bound:0 nc: 12 ncall:3.2e+03 eff:17.8% logz=5.11+/-0.12 dlogz:42.990>0.1]
574it [00:20, 14.55it/s, bound:0 nc: 12 ncall:3.2e+03 eff:17.8% logz=5.18+/-0.12 dlogz:42.918>0.1]
576it [00:21, 15.13it/s, bound:0 nc: 10 ncall:3.2e+03 eff:17.7% logz=5.25+/-0.12 dlogz:42.839>0.1]
578it [00:21, 15.54it/s, bound:0 nc:  2 ncall:3.3e+03 eff:17.7% logz=5.32+/-0.12 dlogz:42.761>0.1]
580it [00:21, 14.48it/s, bound:0 nc: 14 ncall:3.3e+03 eff:17.6% logz=5.39+/-0.12 dlogz:42.686>0.1]
582it [00:21, 12.13it/s, bound:0 nc:  8 ncall:3.3e+03 eff:17.5% logz=5.46+/-0.12 dlogz:42.613>0.1]
584it [00:21, 12.10it/s, bound:0 nc: 13 ncall:3.3e+03 eff:17.5% logz=5.52+/-0.12 dlogz:42.543>0.1]
586it [00:21, 13.21it/s, bound:0 nc: 14 ncall:3.4e+03 eff:17.5% logz=5.59+/-0.12 dlogz:42.475>0.1]
588it [00:22, 14.00it/s, bound:0 nc:  1 ncall:3.4e+03 eff:17.4% logz=5.66+/-0.12 dlogz:42.401>0.1]
590it [00:22, 13.06it/s, bound:0 nc:  1 ncall:3.4e+03 eff:17.4% logz=5.73+/-0.12 dlogz:42.326>0.1]
594it [00:22, 17.99it/s, bound:0 nc: 10 ncall:3.4e+03 eff:17.4% logz=5.87+/-0.12 dlogz:42.172>0.1]
596it [00:22, 16.81it/s, bound:0 nc: 12 ncall:3.4e+03 eff:17.4% logz=5.94+/-0.12 dlogz:42.099>0.1]
598it [00:22, 16.90it/s, bound:0 nc: 10 ncall:3.4e+03 eff:17.3% logz=6.01+/-0.12 dlogz:42.026>0.1]
600it [00:22, 13.98it/s, bound:0 nc:  5 ncall:3.5e+03 eff:17.3% logz=6.08+/-0.12 dlogz:41.948>0.1]
606it [00:22, 21.61it/s, bound:0 nc: 10 ncall:3.5e+03 eff:17.3% logz=6.32+/-0.12 dlogz:41.700>0.1]
609it [00:23, 19.34it/s, bound:0 nc:  5 ncall:3.5e+03 eff:17.3% logz=6.44+/-0.12 dlogz:41.572>0.1]
612it [00:23, 20.50it/s, bound:0 nc: 20 ncall:3.6e+03 eff:17.2% logz=6.55+/-0.12 dlogz:41.445>0.1]
615it [00:23, 15.91it/s, bound:0 nc: 31 ncall:3.6e+03 eff:17.1% logz=6.66+/-0.12 dlogz:41.329>0.1]
618it [00:23, 16.38it/s, bound:0 nc: 10 ncall:3.6e+03 eff:17.1% logz=6.76+/-0.12 dlogz:41.221>0.1]
622it [00:23, 18.02it/s, bound:0 nc: 18 ncall:3.6e+03 eff:17.1% logz=6.89+/-0.12 dlogz:41.076>0.1]
624it [00:24, 13.64it/s, bound:0 nc: 13 ncall:3.7e+03 eff:17.0% logz=6.96+/-0.12 dlogz:41.007>0.1]
626it [00:24, 14.31it/s, bound:0 nc: 18 ncall:3.7e+03 eff:16.9% logz=7.02+/-0.12 dlogz:40.939>0.1]
628it [00:24, 12.51it/s, bound:0 nc: 30 ncall:3.7e+03 eff:16.8% logz=7.09+/-0.12 dlogz:40.864>0.1]
630it [00:24, 11.30it/s, bound:0 nc: 17 ncall:3.8e+03 eff:16.7% logz=7.16+/-0.12 dlogz:40.790>0.1]
632it [00:24, 12.63it/s, bound:0 nc:  9 ncall:3.8e+03 eff:16.7% logz=7.23+/-0.12 dlogz:40.716>0.1]
634it [00:25, 12.92it/s, bound:0 nc: 13 ncall:3.8e+03 eff:16.7% logz=7.30+/-0.12 dlogz:40.645>0.1]
638it [00:25, 14.69it/s, bound:0 nc: 24 ncall:3.8e+03 eff:16.6% logz=7.43+/-0.13 dlogz:40.497>0.1]
640it [00:25, 14.33it/s, bound:0 nc:  8 ncall:3.9e+03 eff:16.6% logz=7.51+/-0.13 dlogz:40.423>0.1]
646it [00:25, 22.22it/s, bound:0 nc:  5 ncall:3.9e+03 eff:16.6% logz=7.73+/-0.13 dlogz:44.726>0.1]
649it [00:25, 19.90it/s, bound:0 nc:  2 ncall:3.9e+03 eff:16.6% logz=7.84+/-0.13 dlogz:44.608>0.1]
652it [00:25, 17.06it/s, bound:0 nc: 13 ncall:3.9e+03 eff:16.5% logz=7.94+/-0.13 dlogz:44.495>0.1]
