
0it [00:00, ?it/s]
1it [00:05,  5.39s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-261.59+/-0.18 dlogz:inf>0.1]
18it [00:05,  4.54it/s, bound:0 nc:  2 ncall:4.3e+02 eff:4.2% logz=-93.07+/-0.18 dlogz:153.629>0.1]
38it [00:05, 11.38it/s, bound:0 nc:  3 ncall:4.7e+02 eff:8.1% logz=-48.31+/-0.15 dlogz:101.910>0.1]
55it [00:05, 18.77it/s, bound:0 nc:  1 ncall:5.0e+02 eff:11.1% logz=-31.49+/-0.16 dlogz:85.455>0.1]
74it [00:05, 29.59it/s, bound:0 nc:  4 ncall:5.3e+02 eff:13.9% logz=-21.58+/-0.14 dlogz:74.987>0.1]
93it [00:05, 42.34it/s, bound:0 nc:  1 ncall:5.6e+02 eff:16.6% logz=-13.21+/-0.16 dlogz:67.122>0.1]
109it [00:06, 53.41it/s, bound:0 nc:  2 ncall:6.0e+02 eff:18.3% logz=-9.59+/-0.13 dlogz:62.732>0.1]
124it [00:06, 60.00it/s, bound:0 nc:  1 ncall:6.4e+02 eff:19.3% logz=-6.93+/-0.14 dlogz:60.102>0.1]
140it [00:06, 72.27it/s, bound:0 nc:  2 ncall:6.7e+02 eff:20.8% logz=-4.43+/-0.13 dlogz:57.515>0.1]
153it [00:06, 80.41it/s, bound:0 nc:  2 ncall:7.1e+02 eff:21.5% logz=-3.36+/-0.12 dlogz:56.315>0.1]
166it [00:06, 87.04it/s, bound:0 nc:  3 ncall:7.4e+02 eff:22.5% logz=-2.35+/-0.12 dlogz:55.303>0.1]
179it [00:06, 91.86it/s, bound:0 nc:  3 ncall:7.8e+02 eff:23.1% logz=-1.30+/-0.12 dlogz:54.214>0.1]
191it [00:06, 83.35it/s, bound:0 nc:  5 ncall:8.2e+02 eff:23.3% logz=-0.47+/-0.12 dlogz:53.347>0.1]
206it [00:07, 93.59it/s, bound:0 nc:  5 ncall:8.5e+02 eff:24.2% logz=0.90+/-0.12 dlogz:51.939>0.1] 
217it [00:07, 87.43it/s, bound:0 nc:  7 ncall:9.0e+02 eff:24.2% logz=1.74+/-0.12 dlogz:51.090>0.1]
227it [00:07, 81.33it/s, bound:0 nc:  2 ncall:9.3e+02 eff:24.4% logz=2.69+/-0.12 dlogz:50.102>0.1]
238it [00:07, 84.96it/s, bound:0 nc:  2 ncall:9.6e+02 eff:24.7% logz=3.59+/-0.12 dlogz:49.168>0.1]
248it [00:07, 79.71it/s, bound:0 nc:  8 ncall:1.0e+03 eff:24.8% logz=4.31+/-0.12 dlogz:48.425>0.1]
264it [00:07, 94.41it/s, bound:0 nc:  2 ncall:1.0e+03 eff:25.5% logz=5.37+/-0.12 dlogz:47.304>0.1]
274it [00:07, 85.20it/s, bound:0 nc: 16 ncall:1.1e+03 eff:25.5% logz=5.88+/-0.12 dlogz:46.768>0.1]
283it [00:07, 82.68it/s, bound:0 nc:  2 ncall:1.1e+03 eff:25.5% logz=6.37+/-0.12 dlogz:46.259>0.1]
292it [00:08, 82.64it/s, bound:0 nc:  1 ncall:1.1e+03 eff:25.5% logz=6.87+/-0.12 dlogz:45.737>0.1]
301it [00:08, 83.07it/s, bound:0 nc:  4 ncall:1.2e+03 eff:25.7% logz=7.42+/-0.12 dlogz:45.178>0.1]
310it [00:08, 76.53it/s, bound:0 nc:  4 ncall:1.2e+03 eff:25.5% logz=8.04+/-0.12 dlogz:44.534>0.1]
318it [00:08, 67.81it/s, bound:0 nc:  9 ncall:1.3e+03 eff:25.2% logz=8.52+/-0.12 dlogz:44.025>0.1]
326it [00:08, 65.14it/s, bound:0 nc: 12 ncall:1.3e+03 eff:25.1% logz=8.94+/-0.12 dlogz:43.576>0.1]
336it [00:08, 71.86it/s, bound:0 nc:  1 ncall:1.3e+03 eff:25.3% logz=9.38+/-0.12 dlogz:43.104>0.1]
344it [00:08, 66.56it/s, bound:0 nc:  7 ncall:1.4e+03 eff:25.1% logz=9.74+/-0.12 dlogz:42.726>0.1]
356it [00:08, 78.47it/s, bound:0 nc:  5 ncall:1.4e+03 eff:25.3% logz=10.26+/-0.12 dlogz:42.173>0.1]
365it [00:09, 72.74it/s, bound:0 nc:  3 ncall:1.4e+03 eff:25.3% logz=10.63+/-0.12 dlogz:41.784>0.1]
373it [00:09, 67.71it/s, bound:0 nc: 15 ncall:1.5e+03 eff:25.2% logz=10.95+/-0.12 dlogz:41.442>0.1]
382it [00:09, 72.58it/s, bound:0 nc:  3 ncall:1.5e+03 eff:25.2% logz=11.35+/-0.12 dlogz:41.024>0.1]
390it [00:09, 71.39it/s, bound:0 nc:  4 ncall:1.5e+03 eff:25.2% logz=11.71+/-0.12 dlogz:40.635>0.1]
398it [00:09, 65.06it/s, bound:0 nc:  4 ncall:1.6e+03 eff:25.1% logz=12.03+/-0.12 dlogz:40.291>0.1]
405it [00:09, 63.70it/s, bound:0 nc:  3 ncall:1.6e+03 eff:25.0% logz=12.32+/-0.12 dlogz:39.992>0.1]
412it [00:09, 58.01it/s, bound:0 nc:  1 ncall:1.7e+03 eff:24.8% logz=12.64+/-0.12 dlogz:39.667>0.1]
418it [00:10, 52.22it/s, bound:0 nc:  4 ncall:1.7e+03 eff:24.6% logz=12.92+/-0.12 dlogz:39.364>0.1]
424it [00:10, 49.93it/s, bound:0 nc:  9 ncall:1.7e+03 eff:24.5% logz=13.16+/-0.12 dlogz:39.095>0.1]
434it [00:10, 57.55it/s, bound:0 nc: 13 ncall:1.8e+03 eff:24.6% logz=13.56+/-0.12 dlogz:38.678>0.1]
440it [00:10, 58.07it/s, bound:0 nc:  1 ncall:1.8e+03 eff:24.6% logz=13.78+/-0.12 dlogz:38.441>0.1]
447it [00:10, 60.36it/s, bound:0 nc: 11 ncall:1.8e+03 eff:24.6% logz=14.07+/-0.12 dlogz:38.132>0.1]
454it [00:10, 47.67it/s, bound:0 nc: 29 ncall:1.9e+03 eff:24.3% logz=14.34+/-0.12 dlogz:37.840>0.1]
460it [00:10, 49.62it/s, bound:0 nc:  7 ncall:1.9e+03 eff:24.3% logz=14.57+/-0.12 dlogz:37.595>0.1]
466it [00:10, 48.23it/s, bound:0 nc:  2 ncall:1.9e+03 eff:24.3% logz=14.79+/-0.12 dlogz:37.360>0.1]
472it [00:11, 43.17it/s, bound:0 nc: 14 ncall:2.0e+03 eff:24.0% logz=14.99+/-0.12 dlogz:37.147>0.1]
477it [00:11, 43.35it/s, bound:0 nc:  6 ncall:2.0e+03 eff:23.9% logz=15.16+/-0.12 dlogz:36.966>0.1]
482it [00:11, 34.96it/s, bound:0 nc:  5 ncall:2.0e+03 eff:23.7% logz=15.34+/-0.12 dlogz:36.775>0.1]
486it [00:11, 34.69it/s, bound:0 nc: 16 ncall:2.1e+03 eff:23.6% logz=15.47+/-0.12 dlogz:36.627>0.1]
490it [00:11, 25.23it/s, bound:0 nc:  7 ncall:2.1e+03 eff:23.4% logz=15.60+/-0.12 dlogz:36.488>0.1]
494it [00:12, 24.59it/s, bound:0 nc:  7 ncall:2.1e+03 eff:23.3% logz=15.72+/-0.12 dlogz:36.355>0.1]
499it [00:12, 28.38it/s, bound:0 nc:  4 ncall:2.1e+03 eff:23.4% logz=15.88+/-0.12 dlogz:36.184>0.1]
