
0it [00:00, ?it/s]
1it [00:03,  3.88s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=1.57+/-0.18 dlogz:inf>0.1]
16it [00:03,  5.56it/s, bound:0 nc:  7 ncall:5.1e+02 eff:3.1% logz=11.13+/-0.14 dlogz:32.944>0.1]
32it [00:04, 12.98it/s, bound:0 nc: 12 ncall:6.5e+02 eff:4.9% logz=12.91+/-0.12 dlogz:31.042>0.1]
47it [00:04, 21.75it/s, bound:0 nc:  7 ncall:8.0e+02 eff:5.9% logz=14.34+/-0.12 dlogz:29.569>0.1]
60it [00:05, 16.70it/s, bound:5 nc:120 ncall:2.1e+03 eff:2.8% logz=15.18+/-0.11 dlogz:28.677>0.1]
69it [00:05, 17.26it/s, bound:8 nc:101 ncall:3.1e+03 eff:2.2% logz=15.64+/-0.11 dlogz:28.186>0.1]
76it [00:06, 16.58it/s, bound:10 nc:104 ncall:3.8e+03 eff:2.0% logz=15.99+/-0.11 dlogz:27.819>0.1]
82it [00:06, 15.68it/s, bound:12 nc:101 ncall:4.5e+03 eff:1.8% logz=16.24+/-0.11 dlogz:27.542>0.1]
90it [00:07, 16.02it/s, bound:15 nc:101 ncall:5.3e+03 eff:1.7% logz=16.56+/-0.10 dlogz:27.504>0.1]
98it [00:07, 16.32it/s, bound:18 nc:101 ncall:6.1e+03 eff:1.6% logz=16.85+/-0.10 dlogz:27.190>0.1]
106it [00:08, 16.48it/s, bound:20 nc:101 ncall:6.9e+03 eff:1.5% logz=17.12+/-0.10 dlogz:26.894>0.1]
113it [00:08, 15.76it/s, bound:23 nc:101 ncall:7.7e+03 eff:1.5% logz=17.34+/-0.10 dlogz:26.661>0.1]
121it [00:09, 16.25it/s, bound:26 nc:101 ncall:8.6e+03 eff:1.4% logz=17.59+/-0.10 dlogz:26.387>0.1]
129it [00:09, 16.30it/s, bound:28 nc:113 ncall:9.4e+03 eff:1.4% logz=17.84+/-0.10 dlogz:26.117>0.1]
137it [00:10, 16.10it/s, bound:31 nc:125 ncall:1.0e+04 eff:1.3% logz=18.08+/-0.10 dlogz:25.859>0.1]
145it [00:10, 16.17it/s, bound:34 nc:115 ncall:1.1e+04 eff:1.3% logz=18.30+/-0.10 dlogz:25.613>0.1]
153it [00:11, 16.01it/s, bound:36 nc:114 ncall:1.2e+04 eff:1.3% logz=18.52+/-0.10 dlogz:25.381>0.1]
161it [00:11, 16.06it/s, bound:39 nc:105 ncall:1.3e+04 eff:1.3% logz=18.73+/-0.10 dlogz:25.149>0.1]
169it [00:12, 15.96it/s, bound:42 nc:101 ncall:1.4e+04 eff:1.2% logz=18.93+/-0.10 dlogz:24.925>0.1]
177it [00:12, 15.96it/s, bound:45 nc:121 ncall:1.5e+04 eff:1.2% logz=19.14+/-0.09 dlogz:24.699>0.1]
185it [00:13, 15.62it/s, bound:47 nc:128 ncall:1.5e+04 eff:1.2% logz=19.35+/-0.09 dlogz:24.471>0.1]
193it [00:13, 15.40it/s, bound:50 nc:119 ncall:1.6e+04 eff:1.2% logz=19.57+/-0.10 dlogz:24.229>0.1]
201it [00:14, 14.88it/s, bound:53 nc:111 ncall:1.7e+04 eff:1.2% logz=19.82+/-0.10 dlogz:23.959>0.1]
209it [00:14, 14.89it/s, bound:56 nc:119 ncall:1.8e+04 eff:1.1% logz=20.05+/-0.10 dlogz:23.703>0.1]
217it [00:15, 14.75it/s, bound:59 nc:139 ncall:1.9e+04 eff:1.1% logz=20.27+/-0.10 dlogz:23.464>0.1]
225it [00:15, 14.50it/s, bound:62 nc:136 ncall:2.0e+04 eff:1.1% logz=20.50+/-0.10 dlogz:23.223>0.1]
233it [00:16, 14.42it/s, bound:66 nc:128 ncall:2.1e+04 eff:1.1% logz=20.73+/-0.10 dlogz:22.972>0.1]
241it [00:17, 13.85it/s, bound:69 nc:121 ncall:2.2e+04 eff:1.1% logz=20.96+/-0.10 dlogz:22.716>0.1]
249it [00:17, 13.36it/s, bound:73 nc:129 ncall:2.3e+04 eff:1.1% logz=21.21+/-0.10 dlogz:22.454>0.1]
257it [00:18, 13.05it/s, bound:77 nc:151 ncall:2.4e+04 eff:1.1% logz=21.48+/-0.10 dlogz:22.163>0.1]
265it [00:19, 12.87it/s, bound:81 nc:146 ncall:2.5e+04 eff:1.0% logz=21.74+/-0.10 dlogz:21.877>0.1]
273it [00:19, 12.91it/s, bound:85 nc:139 ncall:2.7e+04 eff:1.0% logz=21.99+/-0.10 dlogz:21.612>0.1]
281it [00:20, 12.62it/s, bound:89 nc:147 ncall:2.8e+04 eff:1.0% logz=22.25+/-0.10 dlogz:21.327>0.1]
289it [00:20, 12.54it/s, bound:93 nc:149 ncall:2.9e+04 eff:1.0% logz=22.50+/-0.10 dlogz:21.060>0.1]
297it [00:21, 12.49it/s, bound:97 nc:138 ncall:3.0e+04 eff:1.0% logz=22.74+/-0.10 dlogz:20.799>0.1]
305it [00:22, 12.13it/s, bound:101 nc:143 ncall:3.1e+04 eff:1.0% logz=22.96+/-0.10 dlogz:20.553>0.1]
312it [00:23, 11.18it/s, bound:104 nc:330 ncall:3.2e+04 eff:1.0% logz=23.16+/-0.10 dlogz:20.344>0.1]
320it [00:23, 10.93it/s, bound:108 nc:181 ncall:3.4e+04 eff:1.0% logz=23.39+/-0.10 dlogz:20.093>0.1]
328it [00:24, 10.66it/s, bound:112 nc:162 ncall:3.5e+04 eff:0.9% logz=23.63+/-0.11 dlogz:19.835>0.1]
