
0it [00:00, ?it/s]
1it [00:04,  4.00s/it, bound:0 nc:  7 ncall:4.1e+02 eff:0.2% logz=2.26+/-0.18 dlogz:inf>0.1]
16it [00:04,  5.41it/s, bound:0 nc: 19 ncall:4.9e+02 eff:3.3% logz=10.23+/-0.13 dlogz:34.228>0.1]
31it [00:04, 12.18it/s, bound:0 nc:  8 ncall:5.6e+02 eff:5.5% logz=11.76+/-0.12 dlogz:32.556>0.1]
47it [00:04, 21.24it/s, bound:0 nc: 14 ncall:6.6e+02 eff:7.1% logz=13.33+/-0.12 dlogz:30.973>0.1]
60it [00:04, 28.56it/s, bound:0 nc: 25 ncall:8.0e+02 eff:7.5% logz=14.41+/-0.12 dlogz:29.826>0.1]
71it [00:05, 19.47it/s, bound:3 nc:114 ncall:1.8e+03 eff:4.1% logz=15.08+/-0.11 dlogz:29.106>0.1]
79it [00:06, 14.49it/s, bound:7 nc:117 ncall:2.8e+03 eff:2.9% logz=15.48+/-0.11 dlogz:28.682>0.1]
85it [00:07, 11.46it/s, bound:9 nc:110 ncall:3.4e+03 eff:2.5% logz=15.72+/-0.11 dlogz:28.422>0.1]
89it [00:08,  8.77it/s, bound:11 nc:112 ncall:3.9e+03 eff:2.3% logz=15.87+/-0.11 dlogz:28.259>0.1]
96it [00:09,  7.94it/s, bound:13 nc:101 ncall:4.6e+03 eff:2.1% logz=16.16+/-0.11 dlogz:27.952>0.1]
104it [00:10,  7.69it/s, bound:16 nc:101 ncall:5.4e+03 eff:1.9% logz=16.47+/-0.10 dlogz:27.625>0.1]
112it [00:11,  7.73it/s, bound:18 nc:101 ncall:6.2e+03 eff:1.8% logz=16.77+/-0.10 dlogz:27.298>0.1]
120it [00:12,  7.54it/s, bound:21 nc:108 ncall:7.1e+03 eff:1.7% logz=17.09+/-0.10 dlogz:26.966>0.1]
128it [00:13,  7.42it/s, bound:24 nc:101 ncall:7.9e+03 eff:1.6% logz=17.40+/-0.10 dlogz:26.630>0.1]
136it [00:15,  7.38it/s, bound:26 nc:101 ncall:8.7e+03 eff:1.6% logz=17.69+/-0.10 dlogz:26.319>0.1]
144it [00:16,  7.42it/s, bound:29 nc:101 ncall:9.6e+03 eff:1.5% logz=17.99+/-0.10 dlogz:26.003>0.1]
152it [00:17,  7.25it/s, bound:32 nc:114 ncall:1.0e+04 eff:1.5% logz=18.30+/-0.10 dlogz:25.675>0.1]
160it [00:18,  6.99it/s, bound:34 nc:113 ncall:1.1e+04 eff:1.4% logz=18.59+/-0.10 dlogz:25.359>0.1]
168it [00:19,  7.01it/s, bound:37 nc:101 ncall:1.2e+04 eff:1.4% logz=18.88+/-0.10 dlogz:25.047>0.1]
176it [00:20,  6.74it/s, bound:40 nc:122 ncall:1.3e+04 eff:1.3% logz=19.15+/-0.10 dlogz:24.753>0.1]
183it [00:22,  6.52it/s, bound:43 nc:108 ncall:1.4e+04 eff:1.3% logz=19.38+/-0.10 dlogz:24.512>0.1]
191it [00:23,  6.57it/s, bound:46 nc:110 ncall:1.5e+04 eff:1.3% logz=19.61+/-0.10 dlogz:24.254>0.1]
199it [00:24,  6.51it/s, bound:49 nc:120 ncall:1.6e+04 eff:1.3% logz=19.83+/-0.10 dlogz:24.015>0.1]
207it [00:25,  6.42it/s, bound:51 nc:128 ncall:1.7e+04 eff:1.2% logz=20.06+/-0.10 dlogz:23.763>0.1]
215it [00:27,  6.24it/s, bound:54 nc:132 ncall:1.8e+04 eff:1.2% logz=20.31+/-0.10 dlogz:23.498>0.1]
223it [00:28,  6.41it/s, bound:58 nc:113 ncall:1.9e+04 eff:1.2% logz=20.57+/-0.10 dlogz:23.216>0.1]
231it [00:29,  6.26it/s, bound:61 nc:126 ncall:2.0e+04 eff:1.2% logz=20.82+/-0.10 dlogz:22.949>0.1]
239it [00:30,  6.29it/s, bound:65 nc:121 ncall:2.1e+04 eff:1.2% logz=21.06+/-0.10 dlogz:22.687>0.1]
247it [00:32,  6.33it/s, bound:67 nc:124 ncall:2.2e+04 eff:1.1% logz=21.28+/-0.10 dlogz:22.440>0.1]
255it [00:33,  6.11it/s, bound:70 nc:131 ncall:2.3e+04 eff:1.1% logz=21.48+/-0.10 dlogz:22.221>0.1]
263it [00:34,  6.06it/s, bound:74 nc:150 ncall:2.4e+04 eff:1.1% logz=21.68+/-0.10 dlogz:22.004>0.1]
271it [00:36,  5.97it/s, bound:78 nc:126 ncall:2.5e+04 eff:1.1% logz=21.88+/-0.10 dlogz:21.785>0.1]
279it [00:37,  5.85it/s, bound:82 nc:135 ncall:2.6e+04 eff:1.1% logz=22.06+/-0.10 dlogz:21.577>0.1]
287it [00:39,  5.65it/s, bound:86 nc:132 ncall:2.7e+04 eff:1.1% logz=22.26+/-0.10 dlogz:21.367>0.1]
295it [00:40,  5.50it/s, bound:90 nc:134 ncall:2.8e+04 eff:1.1% logz=22.45+/-0.10 dlogz:21.151>0.1]
303it [00:42,  5.28it/s, bound:94 nc:151 ncall:2.9e+04 eff:1.0% logz=22.64+/-0.10 dlogz:20.937>0.1]
311it [00:44,  4.98it/s, bound:98 nc:166 ncall:3.0e+04 eff:1.0% logz=22.83+/-0.10 dlogz:20.731>0.1]
318it [00:46,  4.71it/s, bound:102 nc:157 ncall:3.2e+04 eff:1.0% logz=23.01+/-0.10 dlogz:20.538>0.1]
326it [00:47,  4.62it/s, bound:106 nc:159 ncall:3.3e+04 eff:1.0% logz=23.22+/-0.10 dlogz:20.309>0.1]
334it [00:49,  4.49it/s, bound:110 nc:174 ncall:3.5e+04 eff:1.0% logz=23.43+/-0.10 dlogz:20.073>0.1]
342it [00:51,  4.25it/s, bound:114 nc:203 ncall:3.6e+04 eff:1.0% logz=23.65+/-0.10 dlogz:19.838>0.1]
350it [00:53,  4.22it/s, bound:118 nc:186 ncall:3.8e+04 eff:0.9% logz=23.85+/-0.10 dlogz:19.613>0.1]
358it [00:55,  4.11it/s, bound:122 nc:199 ncall:3.9e+04 eff:0.9% logz=24.05+/-0.10 dlogz:19.399>0.1]
366it [00:57,  4.01it/s, bound:126 nc:198 ncall:4.1e+04 eff:0.9% logz=24.24+/-0.10 dlogz:19.188>0.1]
374it [01:00,  3.92it/s, bound:130 nc:211 ncall:4.2e+04 eff:0.9% logz=24.42+/-0.10 dlogz:18.983>0.1]
382it [01:02,  3.80it/s, bound:134 nc:210 ncall:4.4e+04 eff:0.9% logz=24.59+/-0.10 dlogz:18.794>0.1]
390it [01:04,  3.75it/s, bound:138 nc:201 ncall:4.6e+04 eff:0.9% logz=24.79+/-0.10 dlogz:18.578>0.1]
398it [01:07,  3.55it/s, bound:142 nc:215 ncall:4.7e+04 eff:0.8% logz=24.98+/-0.10 dlogz:18.367>0.1]
406it [01:10,  3.23it/s, bound:146 nc:226 ncall:4.9e+04 eff:0.8% logz=25.16+/-0.10 dlogz:18.163>0.1]
414it [01:13,  3.05it/s, bound:151 nc:244 ncall:5.1e+04 eff:0.8% logz=25.32+/-0.10 dlogz:17.976>0.1]
422it [01:16,  2.93it/s, bound:156 nc:243 ncall:5.3e+04 eff:0.8% logz=25.48+/-0.10 dlogz:17.800>0.1]
