
0it [00:00, ?it/s]
1it [00:11, 11.48s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-5016.78+/-0.18 dlogz:inf>0.1]
15it [00:11,  1.80it/s, bound:0 nc:  1 ncall:4.2e+02 eff:3.6% logz=-1224.19+/-0.18 dlogz:1315.978>0.1]
36it [00:11,  5.36it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.2% logz=-611.31+/-0.18 dlogz:679.020>0.1]  
56it [00:11,  9.92it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.0% logz=-307.59+/-0.17 dlogz:354.353>0.1]
75it [00:11, 15.65it/s, bound:0 nc:  1 ncall:4.9e+02 eff:15.3% logz=-160.75+/-0.18 dlogz:208.903>0.1]
95it [00:12, 23.34it/s, bound:0 nc:  1 ncall:5.1e+02 eff:18.5% logz=-70.87+/-0.16 dlogz:116.403>0.1] 
115it [00:12, 33.19it/s, bound:0 nc:  1 ncall:5.4e+02 eff:21.4% logz=-55.07+/-0.15 dlogz:100.122>0.1]
130it [00:12, 41.46it/s, bound:0 nc:  1 ncall:5.6e+02 eff:23.2% logz=-49.84+/-0.14 dlogz:94.593>0.1] 
145it [00:12, 50.93it/s, bound:0 nc:  2 ncall:5.9e+02 eff:24.6% logz=-47.98+/-0.13 dlogz:92.679>0.1]
159it [00:12, 60.21it/s, bound:0 nc:  1 ncall:6.2e+02 eff:25.9% logz=-45.21+/-0.14 dlogz:89.941>0.1]
173it [00:12, 69.65it/s, bound:0 nc:  1 ncall:6.3e+02 eff:27.3% logz=-43.15+/-0.13 dlogz:87.783>0.1]
190it [00:12, 83.46it/s, bound:0 nc:  2 ncall:6.6e+02 eff:28.9% logz=-41.29+/-0.13 dlogz:85.845>0.1]
204it [00:12, 91.81it/s, bound:0 nc:  1 ncall:6.8e+02 eff:30.2% logz=-39.57+/-0.13 dlogz:84.116>0.1]
217it [00:13, 86.82it/s, bound:0 nc:  3 ncall:7.0e+02 eff:30.8% logz=-38.24+/-0.13 dlogz:82.728>0.1]
231it [00:13, 93.97it/s, bound:0 nc:  2 ncall:7.3e+02 eff:31.7% logz=-36.68+/-0.13 dlogz:81.129>0.1]
248it [00:13, 106.20it/s, bound:0 nc:  2 ncall:7.5e+02 eff:32.9% logz=-35.11+/-0.13 dlogz:79.514>0.1]
264it [00:13, 107.68it/s, bound:0 nc:  2 ncall:7.8e+02 eff:33.9% logz=-33.69+/-0.13 dlogz:78.050>0.1]
276it [00:13, 105.01it/s, bound:0 nc:  2 ncall:8.0e+02 eff:34.4% logz=-32.80+/-0.13 dlogz:77.127>0.1]
288it [00:13, 98.40it/s, bound:0 nc:  2 ncall:8.3e+02 eff:34.6% logz=-32.00+/-0.12 dlogz:76.275>0.1] 
299it [00:13, 83.50it/s, bound:0 nc:  9 ncall:8.6e+02 eff:34.9% logz=-31.24+/-0.12 dlogz:75.496>0.1]
313it [00:14, 92.14it/s, bound:0 nc:  1 ncall:8.8e+02 eff:35.5% logz=-30.32+/-0.12 dlogz:74.533>0.1]
323it [00:14, 84.86it/s, bound:0 nc:  1 ncall:9.1e+02 eff:35.5% logz=-29.71+/-0.12 dlogz:73.904>0.1]
332it [00:14, 81.92it/s, bound:0 nc:  1 ncall:9.3e+02 eff:35.7% logz=-29.11+/-0.12 dlogz:73.279>0.1]
343it [00:14, 80.40it/s, bound:0 nc:  7 ncall:9.6e+02 eff:35.9% logz=-28.21+/-0.13 dlogz:72.364>0.1]
355it [00:14, 85.20it/s, bound:0 nc:  5 ncall:9.8e+02 eff:36.3% logz=-27.31+/-0.13 dlogz:71.430>0.1]
364it [00:14, 82.86it/s, bound:0 nc:  6 ncall:1.0e+03 eff:36.4% logz=-26.69+/-0.13 dlogz:70.780>0.1]
374it [00:14, 83.43it/s, bound:0 nc:  4 ncall:1.0e+03 eff:36.5% logz=-25.97+/-0.13 dlogz:70.059>0.1]
383it [00:15, 74.25it/s, bound:0 nc:  4 ncall:1.1e+03 eff:36.0% logz=-25.31+/-0.13 dlogz:69.358>0.1]
391it [00:15, 72.64it/s, bound:0 nc:  6 ncall:1.1e+03 eff:36.0% logz=-24.82+/-0.13 dlogz:68.833>0.1]
399it [00:15, 68.12it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.0% logz=-24.31+/-0.13 dlogz:68.309>0.1]
406it [00:15, 66.00it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.0% logz=-23.80+/-0.13 dlogz:70.044>0.1]
413it [00:15, 57.82it/s, bound:0 nc:  5 ncall:1.2e+03 eff:35.9% logz=-23.28+/-0.13 dlogz:69.495>0.1]
419it [00:15, 55.51it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.8% logz=-22.87+/-0.13 dlogz:69.068>0.1]
426it [00:15, 54.03it/s, bound:0 nc:  4 ncall:1.2e+03 eff:35.7% logz=-22.44+/-0.13 dlogz:68.618>0.1]
432it [00:15, 48.56it/s, bound:0 nc: 10 ncall:1.2e+03 eff:35.2% logz=-22.05+/-0.13 dlogz:68.213>0.1]
440it [00:16, 53.58it/s, bound:0 nc:  6 ncall:1.3e+03 eff:35.2% logz=-21.56+/-0.13 dlogz:67.694>0.1]
446it [00:16, 54.62it/s, bound:0 nc:  7 ncall:1.3e+03 eff:35.2% logz=-21.21+/-0.13 dlogz:67.320>0.1]
454it [00:16, 58.18it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.2% logz=-20.82+/-0.13 dlogz:66.905>0.1]
461it [00:16, 56.26it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.0% logz=-20.47+/-0.13 dlogz:66.544>0.1]
470it [00:16, 60.87it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.1% logz=-19.97+/-0.13 dlogz:66.026>0.1]
477it [00:16, 60.47it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.0% logz=-19.59+/-0.13 dlogz:65.632>0.1]
485it [00:16, 59.53it/s, bound:0 nc:  8 ncall:1.4e+03 eff:34.8% logz=-19.01+/-0.13 dlogz:65.039>0.1]
491it [00:17, 42.44it/s, bound:0 nc:  3 ncall:1.4e+03 eff:34.3% logz=-18.62+/-0.13 dlogz:64.628>0.1]
497it [00:17, 43.42it/s, bound:0 nc:  1 ncall:1.5e+03 eff:34.1% logz=-18.29+/-0.13 dlogz:64.275>0.1]
505it [00:17, 49.28it/s, bound:0 nc:  5 ncall:1.5e+03 eff:34.1% logz=-17.85+/-0.13 dlogz:63.814>0.1]
517it [00:17, 62.71it/s, bound:0 nc:  4 ncall:1.5e+03 eff:34.4% logz=-17.21+/-0.13 dlogz:63.150>0.1]
527it [00:17, 65.55it/s, bound:0 nc:  4 ncall:1.5e+03 eff:34.4% logz=-16.58+/-0.13 dlogz:62.505>0.1]
534it [00:17, 64.01it/s, bound:0 nc:  1 ncall:1.6e+03 eff:34.2% logz=-16.20+/-0.13 dlogz:62.093>0.1]
541it [00:17, 47.01it/s, bound:0 nc:  1 ncall:1.6e+03 eff:33.7% logz=-15.80+/-0.13 dlogz:61.685>0.1]
547it [00:18, 47.80it/s, bound:0 nc:  1 ncall:1.6e+03 eff:33.5% logz=-15.41+/-0.13 dlogz:61.285>0.1]
553it [00:18, 39.50it/s, bound:0 nc:  3 ncall:1.7e+03 eff:33.1% logz=-14.97+/-0.13 dlogz:60.843>0.1]
559it [00:18, 41.96it/s, bound:0 nc: 10 ncall:1.7e+03 eff:33.0% logz=-14.54+/-0.13 dlogz:60.386>0.1]
564it [00:18, 42.05it/s, bound:0 nc:  2 ncall:1.7e+03 eff:32.8% logz=-14.25+/-0.13 dlogz:60.074>0.1]
569it [00:18, 38.85it/s, bound:0 nc:  7 ncall:1.7e+03 eff:32.6% logz=-13.97+/-0.13 dlogz:59.775>0.1]
574it [00:18, 39.75it/s, bound:0 nc:  6 ncall:1.8e+03 eff:32.4% logz=-13.72+/-0.13 dlogz:59.507>0.1]
579it [00:19, 33.87it/s, bound:0 nc:  1 ncall:1.8e+03 eff:32.0% logz=-13.49+/-0.13 dlogz:59.264>0.1]
584it [00:19, 34.27it/s, bound:0 nc: 13 ncall:1.8e+03 eff:31.8% logz=-13.28+/-0.13 dlogz:59.039>0.1]
589it [00:19, 36.29it/s, bound:0 nc: 19 ncall:1.9e+03 eff:31.7% logz=-13.08+/-0.13 dlogz:58.819>0.1]
596it [00:19, 41.73it/s, bound:0 nc: 10 ncall:1.9e+03 eff:31.6% logz=-12.81+/-0.13 dlogz:58.531>0.1]
601it [00:19, 39.95it/s, bound:0 nc:  2 ncall:1.9e+03 eff:31.5% logz=-12.63+/-0.13 dlogz:58.340>0.1]
607it [00:19, 42.65it/s, bound:0 nc:  1 ncall:1.9e+03 eff:31.5% logz=-12.42+/-0.13 dlogz:58.112>0.1]
616it [00:19, 51.92it/s, bound:0 nc:  8 ncall:2.0e+03 eff:31.5% logz=-12.08+/-0.13 dlogz:57.756>0.1]
622it [00:19, 52.00it/s, bound:0 nc:  4 ncall:2.0e+03 eff:31.5% logz=-11.85+/-0.13 dlogz:57.516>0.1]
628it [00:20, 50.02it/s, bound:0 nc:  1 ncall:2.0e+03 eff:31.4% logz=-11.61+/-0.13 dlogz:57.257>0.1]
634it [00:20, 40.51it/s, bound:0 nc:  1 ncall:2.0e+03 eff:31.1% logz=-11.36+/-0.13 dlogz:56.999>0.1]
639it [00:20, 40.70it/s, bound:0 nc:  3 ncall:2.1e+03 eff:31.0% logz=-11.15+/-0.13 dlogz:56.774>0.1]
644it [00:20, 39.23it/s, bound:0 nc: 12 ncall:2.1e+03 eff:30.9% logz=-10.95+/-0.13 dlogz:56.557>0.1]
649it [00:20, 28.43it/s, bound:0 nc:  6 ncall:2.1e+03 eff:30.3% logz=-10.76+/-0.13 dlogz:56.349>0.1]
653it [00:21, 26.01it/s, bound:0 nc: 16 ncall:2.2e+03 eff:30.0% logz=-10.58+/-0.13 dlogz:56.171>0.1]
658it [00:21, 25.85it/s, bound:0 nc: 20 ncall:2.2e+03 eff:29.7% logz=-10.34+/-0.13 dlogz:55.916>0.1]
661it [00:21, 25.79it/s, bound:0 nc:  6 ncall:2.2e+03 eff:29.5% logz=-10.18+/-0.13 dlogz:55.754>0.1]
664it [00:21, 24.76it/s, bound:0 nc: 20 ncall:2.3e+03 eff:29.3% logz=-10.02+/-0.13 dlogz:55.589>0.1]
669it [00:21, 28.30it/s, bound:0 nc: 14 ncall:2.3e+03 eff:29.1% logz=-9.74+/-0.13 dlogz:55.297>0.1] 
672it [00:21, 26.74it/s, bound:0 nc:  4 ncall:2.3e+03 eff:29.0% logz=-9.58+/-0.13 dlogz:55.130>0.1]
676it [00:21, 29.46it/s, bound:0 nc:  4 ncall:2.3e+03 eff:29.0% logz=-9.38+/-0.13 dlogz:54.917>0.1]
682it [00:21, 35.12it/s, bound:0 nc: 11 ncall:2.4e+03 eff:28.9% logz=-9.10+/-0.13 dlogz:54.618>0.1]
688it [00:22, 39.56it/s, bound:0 nc:  6 ncall:2.4e+03 eff:28.9% logz=-8.84+/-0.13 dlogz:54.334>0.1]
693it [00:22, 31.52it/s, bound:0 nc:  7 ncall:2.4e+03 eff:28.7% logz=-8.62+/-0.13 dlogz:54.108>0.1]
699it [00:22, 36.15it/s, bound:0 nc:  5 ncall:2.4e+03 eff:28.6% logz=-8.38+/-0.13 dlogz:53.852>0.1]
705it [00:22, 39.88it/s, bound:0 nc:  5 ncall:2.5e+03 eff:28.6% logz=-8.15+/-0.13 dlogz:53.600>0.1]
710it [00:22, 37.39it/s, bound:0 nc:  3 ncall:2.5e+03 eff:28.4% logz=-7.91+/-0.13 dlogz:53.361>0.1]
714it [00:22, 31.99it/s, bound:0 nc:  3 ncall:2.5e+03 eff:28.2% logz=-7.73+/-0.13 dlogz:53.165>0.1]
718it [00:23, 30.01it/s, bound:0 nc:  4 ncall:2.6e+03 eff:28.0% logz=-7.55+/-0.13 dlogz:52.979>0.1]
724it [00:23, 35.19it/s, bound:0 nc:  3 ncall:2.6e+03 eff:28.0% logz=-7.28+/-0.13 dlogz:52.690>0.1]
728it [00:23, 33.16it/s, bound:0 nc: 15 ncall:2.6e+03 eff:27.9% logz=-7.04+/-0.14 dlogz:52.461>0.1]
734it [00:23, 37.61it/s, bound:0 nc:  7 ncall:2.6e+03 eff:27.8% logz=-6.67+/-0.14 dlogz:52.064>0.1]
739it [00:23, 38.84it/s, bound:0 nc:  9 ncall:2.7e+03 eff:27.8% logz=-6.41+/-0.14 dlogz:51.784>0.1]
744it [00:23, 39.83it/s, bound:0 nc:  6 ncall:2.7e+03 eff:27.7% logz=-6.10+/-0.14 dlogz:51.483>0.1]
750it [00:23, 42.99it/s, bound:0 nc: 10 ncall:2.7e+03 eff:27.7% logz=-5.75+/-0.14 dlogz:51.103>0.1]
755it [00:24, 34.63it/s, bound:0 nc:  5 ncall:2.7e+03 eff:27.5% logz=-5.48+/-0.14 dlogz:50.821>0.1]
762it [00:24, 39.42it/s, bound:0 nc: 10 ncall:2.8e+03 eff:27.5% logz=-5.09+/-0.14 dlogz:50.420>0.1]
767it [00:24, 30.64it/s, bound:0 nc:  6 ncall:2.8e+03 eff:27.2% logz=-4.81+/-0.14 dlogz:50.119>0.1]
771it [00:24, 27.07it/s, bound:0 nc:  5 ncall:2.9e+03 eff:27.0% logz=-4.57+/-0.14 dlogz:49.884>0.1]
775it [00:24, 26.64it/s, bound:0 nc:  8 ncall:2.9e+03 eff:26.9% logz=-4.32+/-0.14 dlogz:49.626>0.1]
