
0it [00:00, ?it/s]
1it [00:08,  8.08s/it, bound:0 nc:  7 ncall:4.1e+02 eff:0.2% logz=-2374.20+/-0.18 dlogz:inf>0.1]
5it [00:08,  1.23s/it, bound:0 nc:  4 ncall:4.4e+02 eff:1.1% logz=-86.46+/-0.18 dlogz:164.230>0.1]
12it [00:08,  2.47it/s, bound:0 nc: 24 ncall:5.2e+02 eff:2.3% logz=-67.93+/-0.17 dlogz:113.369>0.1]
19it [00:08,  4.68it/s, bound:0 nc: 39 ncall:6.2e+02 eff:3.0% logz=-58.80+/-0.17 dlogz:104.943>0.1]
25it [00:08,  7.14it/s, bound:0 nc: 21 ncall:7.2e+02 eff:3.5% logz=-48.27+/-0.17 dlogz:94.357>0.1] 
31it [00:08, 10.27it/s, bound:0 nc: 40 ncall:8.0e+02 eff:3.9% logz=-44.42+/-0.15 dlogz:88.592>0.1]
37it [00:09,  8.36it/s, bound:2 nc:101 ncall:1.3e+03 eff:2.8% logz=-42.16+/-0.14 dlogz:86.311>0.1]
41it [00:10,  7.07it/s, bound:3 nc:101 ncall:1.7e+03 eff:2.4% logz=-39.30+/-0.15 dlogz:83.546>0.1]
49it [00:11,  7.36it/s, bound:6 nc:101 ncall:2.5e+03 eff:1.9% logz=-35.94+/-0.15 dlogz:80.033>0.1]
57it [00:12,  7.60it/s, bound:9 nc:101 ncall:3.3e+03 eff:1.7% logz=-33.27+/-0.14 dlogz:77.232>0.1]
65it [00:13,  7.50it/s, bound:11 nc:101 ncall:4.1e+03 eff:1.6% logz=-30.57+/-0.15 dlogz:74.747>0.1]
73it [00:14,  7.69it/s, bound:14 nc:101 ncall:4.9e+03 eff:1.5% logz=-27.25+/-0.15 dlogz:71.421>0.1]
80it [00:15,  7.07it/s, bound:16 nc:101 ncall:5.8e+03 eff:1.4% logz=-24.59+/-0.14 dlogz:68.537>0.1]
88it [00:16,  7.58it/s, bound:19 nc:101 ncall:6.6e+03 eff:1.3% logz=-22.67+/-0.14 dlogz:66.568>0.1]
96it [00:17,  7.81it/s, bound:22 nc:101 ncall:7.4e+03 eff:1.3% logz=-20.98+/-0.14 dlogz:64.760>0.1]
104it [00:18,  7.98it/s, bound:24 nc:101 ncall:8.2e+03 eff:1.3% logz=-19.88+/-0.13 dlogz:63.607>0.1]
112it [00:19,  8.14it/s, bound:27 nc:101 ncall:9.0e+03 eff:1.2% logz=-19.11+/-0.12 dlogz:62.804>0.1]
120it [00:20,  7.98it/s, bound:30 nc:101 ncall:9.8e+03 eff:1.2% logz=-17.82+/-0.13 dlogz:61.534>0.1]
127it [00:21,  7.67it/s, bound:32 nc:101 ncall:1.1e+04 eff:1.2% logz=-15.92+/-0.14 dlogz:59.723>0.1]
135it [00:22,  7.71it/s, bound:35 nc:101 ncall:1.1e+04 eff:1.2% logz=-14.53+/-0.13 dlogz:58.210>0.1]
143it [00:23,  7.89it/s, bound:38 nc:101 ncall:1.2e+04 eff:1.2% logz=-13.57+/-0.13 dlogz:57.200>0.1]
151it [00:24,  7.93it/s, bound:40 nc:101 ncall:1.3e+04 eff:1.2% logz=-12.71+/-0.13 dlogz:56.306>0.1]
159it [00:25,  7.90it/s, bound:43 nc:101 ncall:1.4e+04 eff:1.1% logz=-11.87+/-0.13 dlogz:55.451>0.1]
167it [00:26,  7.90it/s, bound:46 nc:101 ncall:1.5e+04 eff:1.1% logz=-10.97+/-0.13 dlogz:54.565>0.1]
175it [00:27,  8.30it/s, bound:48 nc:101 ncall:1.5e+04 eff:1.1% logz=-9.92+/-0.13 dlogz:53.468>0.1] 
183it [00:28,  8.03it/s, bound:51 nc:101 ncall:1.6e+04 eff:1.1% logz=-9.12+/-0.13 dlogz:52.636>0.1]
191it [00:29,  7.84it/s, bound:54 nc:101 ncall:1.7e+04 eff:1.1% logz=-8.46+/-0.12 dlogz:51.919>0.1]
199it [00:30,  7.92it/s, bound:56 nc:101 ncall:1.8e+04 eff:1.1% logz=-7.97+/-0.12 dlogz:51.402>0.1]
207it [00:31,  7.97it/s, bound:59 nc:101 ncall:1.9e+04 eff:1.1% logz=-7.56+/-0.12 dlogz:50.966>0.1]
215it [00:32,  7.57it/s, bound:62 nc:101 ncall:1.9e+04 eff:1.1% logz=-7.17+/-0.12 dlogz:50.552>0.1]
223it [00:33,  7.65it/s, bound:64 nc:101 ncall:2.0e+04 eff:1.1% logz=-6.75+/-0.12 dlogz:50.119>0.1]
231it [00:34,  7.36it/s, bound:67 nc:101 ncall:2.1e+04 eff:1.1% logz=-6.40+/-0.11 dlogz:49.734>0.1]
239it [00:35,  7.66it/s, bound:70 nc:101 ncall:2.2e+04 eff:1.1% logz=-6.04+/-0.11 dlogz:49.370>0.1]
246it [00:36,  8.15it/s, bound:72 nc:101 ncall:2.3e+04 eff:1.1% logz=-5.71+/-0.11 dlogz:49.017>0.1]
254it [00:37,  7.57it/s, bound:75 nc:101 ncall:2.4e+04 eff:1.1% logz=-5.32+/-0.11 dlogz:48.611>0.1]
262it [00:38,  7.40it/s, bound:78 nc:101 ncall:2.4e+04 eff:1.1% logz=-4.95+/-0.11 dlogz:48.214>0.1]
270it [00:39,  8.26it/s, bound:80 nc:101 ncall:2.5e+04 eff:1.1% logz=-4.61+/-0.11 dlogz:47.849>0.1]
278it [00:40,  7.49it/s, bound:83 nc:101 ncall:2.6e+04 eff:1.1% logz=-4.27+/-0.11 dlogz:47.488>0.1]
286it [00:42,  7.35it/s, bound:86 nc:101 ncall:2.7e+04 eff:1.1% logz=-3.92+/-0.11 dlogz:47.125>0.1]
294it [00:43,  7.42it/s, bound:88 nc:101 ncall:2.8e+04 eff:1.1% logz=-3.60+/-0.11 dlogz:46.774>0.1]
302it [00:43,  7.97it/s, bound:91 nc:101 ncall:2.8e+04 eff:1.1% logz=-3.31+/-0.11 dlogz:46.467>0.1]
310it [00:45,  7.66it/s, bound:94 nc:101 ncall:2.9e+04 eff:1.1% logz=-3.04+/-0.11 dlogz:46.176>0.1]
318it [00:46,  7.60it/s, bound:96 nc:101 ncall:3.0e+04 eff:1.1% logz=-2.76+/-0.11 dlogz:48.251>0.1]
326it [00:47,  8.00it/s, bound:99 nc:101 ncall:3.1e+04 eff:1.1% logz=-2.49+/-0.11 dlogz:47.964>0.1]
334it [00:48,  7.85it/s, bound:102 nc:101 ncall:3.2e+04 eff:1.1% logz=-2.23+/-0.11 dlogz:47.680>0.1]
342it [00:49,  6.59it/s, bound:104 nc:101 ncall:3.2e+04 eff:1.1% logz=-2.00+/-0.11 dlogz:47.425>0.1]
350it [00:50,  6.64it/s, bound:107 nc:101 ncall:3.3e+04 eff:1.1% logz=-1.77+/-0.11 dlogz:47.179>0.1]
358it [00:51,  7.51it/s, bound:110 nc:101 ncall:3.4e+04 eff:1.1% logz=-1.52+/-0.11 dlogz:46.909>0.1]
366it [00:52,  7.17it/s, bound:112 nc:101 ncall:3.5e+04 eff:1.1% logz=-1.25+/-0.11 dlogz:46.619>0.1]
373it [00:54,  7.00it/s, bound:115 nc:202 ncall:3.6e+04 eff:1.0% logz=-1.01+/-0.11 dlogz:46.817>0.1]
381it [00:54,  7.52it/s, bound:118 nc:101 ncall:3.6e+04 eff:1.0% logz=-0.75+/-0.11 dlogz:46.542>0.1]
388it [00:56,  6.44it/s, bound:120 nc:202 ncall:3.7e+04 eff:1.0% logz=-0.53+/-0.11 dlogz:46.305>0.1]
396it [00:57,  7.39it/s, bound:123 nc:101 ncall:3.8e+04 eff:1.0% logz=-0.28+/-0.11 dlogz:46.036>0.1]
404it [00:58,  7.35it/s, bound:126 nc:101 ncall:3.9e+04 eff:1.0% logz=-0.04+/-0.11 dlogz:45.774>0.1]
412it [00:59,  7.01it/s, bound:128 nc:101 ncall:4.0e+04 eff:1.0% logz=0.19+/-0.11 dlogz:45.523>0.1] 
420it [01:00,  7.27it/s, bound:131 nc:101 ncall:4.1e+04 eff:1.0% logz=0.42+/-0.11 dlogz:45.270>0.1]
428it [01:01,  7.28it/s, bound:134 nc:101 ncall:4.1e+04 eff:1.0% logz=0.65+/-0.11 dlogz:45.021>0.1]
436it [01:02,  6.82it/s, bound:136 nc:101 ncall:4.2e+04 eff:1.0% logz=0.84+/-0.11 dlogz:44.803>0.1]
444it [01:04,  6.92it/s, bound:139 nc:101 ncall:4.3e+04 eff:1.0% logz=1.03+/-0.11 dlogz:56.706>0.1]
452it [01:05,  6.82it/s, bound:142 nc:101 ncall:4.4e+04 eff:1.0% logz=1.23+/-0.11 dlogz:56.482>0.1]
460it [01:06,  7.54it/s, bound:144 nc:101 ncall:4.5e+04 eff:1.0% logz=1.42+/-0.11 dlogz:56.276>0.1]
468it [01:07,  7.37it/s, bound:147 nc:101 ncall:4.5e+04 eff:1.0% logz=1.59+/-0.11 dlogz:56.081>0.1]
475it [01:08,  6.63it/s, bound:150 nc:101 ncall:4.6e+04 eff:1.0% logz=1.75+/-0.11 dlogz:55.905>0.1]
483it [01:09,  6.99it/s, bound:152 nc:101 ncall:4.7e+04 eff:1.0% logz=1.93+/-0.11 dlogz:55.711>0.1]
491it [01:11,  5.95it/s, bound:155 nc:114 ncall:4.8e+04 eff:1.0% logz=2.09+/-0.11 dlogz:55.524>0.1]
499it [01:12,  6.87it/s, bound:158 nc:105 ncall:4.9e+04 eff:1.0% logz=2.27+/-0.11 dlogz:55.326>0.1]
507it [01:13,  6.31it/s, bound:160 nc:101 ncall:4.9e+04 eff:1.0% logz=2.46+/-0.11 dlogz:55.120>0.1]
515it [01:14,  6.62it/s, bound:163 nc:101 ncall:5.0e+04 eff:1.0% logz=2.64+/-0.11 dlogz:54.922>0.1]
523it [01:15,  6.76it/s, bound:166 nc:101 ncall:5.1e+04 eff:1.0% logz=2.84+/-0.11 dlogz:54.703>0.1]
530it [01:17,  6.28it/s, bound:168 nc:101 ncall:5.2e+04 eff:1.0% logz=3.02+/-0.11 dlogz:54.506>0.1]
538it [01:17,  7.04it/s, bound:171 nc:101 ncall:5.3e+04 eff:1.0% logz=3.23+/-0.11 dlogz:54.272>0.1]
546it [01:19,  6.68it/s, bound:174 nc:101 ncall:5.3e+04 eff:1.0% logz=3.44+/-0.11 dlogz:54.039>0.1]
554it [01:20,  6.28it/s, bound:176 nc:101 ncall:5.4e+04 eff:1.0% logz=3.67+/-0.11 dlogz:53.795>0.1]
562it [01:22,  6.00it/s, bound:179 nc:101 ncall:5.5e+04 eff:1.0% logz=3.90+/-0.12 dlogz:53.545>0.1]
570it [01:23,  6.00it/s, bound:182 nc:101 ncall:5.6e+04 eff:1.0% logz=4.11+/-0.12 dlogz:53.309>0.1]
578it [01:24,  5.96it/s, bound:184 nc:101 ncall:5.7e+04 eff:1.0% logz=4.31+/-0.12 dlogz:53.092>0.1]
586it [01:25,  6.54it/s, bound:187 nc:101 ncall:5.8e+04 eff:1.0% logz=4.51+/-0.12 dlogz:52.869>0.1]
